להלן יפורטו סדר הפעולות של המערכת שנעשה בכל כניסה לשלוחה
לאחר הפעולה/בדיקה הראשונה המערכת ממשיכה לפעולה/בדיקה השניה. במידה והבדיקה הראשונה חסמה את הכניסה לשלוחה לא יתבצעו הפעולות/בדיקות הנוספות כלל

key	הסבר	מידע נוסף
1	check_if_mobile_kosher_phone	בדיקה אם מספר כשר	135553
2	limit_call_seconds	הגבלת אורך שיחה כהטמעה בכל מודול	77
3	mode_say_log	השמעת מיקום השלוחה בכניסה לשלוחה	1248
4	enter_if_time	כניסה לשלוחה לפי זמנים	941
5	enter_after_time	זמן פתיחת שלוחה	941
6	password	סיסמה לשלוחה	948
7	black_no_phone	חסימת מספרים ללא זיהוי	970
8	check_phone_verify	אימות דו שלבי	969
9	white_list	רשימה לבנה	972
10	black_list	רשימה שחורה	1246
11	enter_id	כניסה לפי מספר אישי	1250
12	check_did_and_go_to_folder	הפנייה לפי מספר מחייג ו/או מחויג	60
13	check_access_filter	אקסס פילטר	60901
14	send_sms	שליחת מסרון (sms) בכניסה לשלוחה	2770
15	send_tzintuk	שליחת צנתוק למחייג בכניסה לשלוחה	89969
16	oref_check	השמעת אזעקות בזמן אמת	79323
17	enter_foldar_end_time	זמן סגירת שלוחה	941
18	check_phone_number	כניסה לשלוחה ע"פ מספר ישראלי/לא ישראלי	1247
19	checking_units_ext	התראה על כמות נמוכה של יחידות או פג תוקף	18757
20	go_to_from_tzintuk	פילטר לפי רשימת צינתוקים	41323
21	check_template_filter	פילטר לפי מספר רשימות תפוצה	124
22	check_points_filter	פילטר לפי ניקוד	56097
23	check_listening_ok	פילטר לפי האזנה לקובץ מסוים במערכת	92925
24	check_api	בדיקת הרשאת כניסה ב-API	33763
25	send_message_to_telegram	שליחת הודעה לטלגרם בכל כניסה לשלוחה	51968
26	points_time	הוספת ניקוד בהתאם לזמן האזנה	48236
27	send_dtmf	שליחת DTMF מוגדר מראש	78119
28	play_campaign_message	השמעת הודעות קמפיין (מלבד מודול תפריט - menu)	62038
29	check_if_music_on_hold	פילטר כניסה ומעבר לפי בדיקה אם שידור חי אינטרנטי פעיל	14500
30	limit_entries_folder_max	הגבלת כמות כניסות לשלוחה בצורה כללית	23170
